Date,Event_Name,Category,Description
2020-03-06,OPEC+ Alliance Collapse,OPEC,Saudi Arabia and Russia fail to agree on cuts triggering a price war
2020-04-20,WTI Negative Pricing,Economic,WTI crude drops below zero due to pandemic demand destruction
2021-03-23,Evergreen Suez Canal Blockage,Geopolitical,Container ship blocks vital maritime oil transit route for 6 days
2022-02-24,Russia Invasion of Ukraine,Geopolitical,Outbreak of war triggers massive global energy supply risk premiums
2022-03-08,US Ban on Russian Oil,Geopolitical,US places strict embargoes on Russian energy imports
2022-10-05,OPEC+ 2M Barrel Cut,OPEC,OPEC+ announces major production cuts to support falling prices
2023-10-07,Gaza Conflict Outbreak,Geopolitical,Middle East tensions rise sparking energy sector volatility
2024-01-12,Red Sea Shipping Attacks,Geopolitical,Houthi rebel attacks force oil tankers to reroute around Africa
2025-06-02,OPEC+ Phase-Out Agreement,OPEC,OPEC+ extends deep cuts but outlines plan to unwind voluntary rollbacks
2026-01-15,Global Refinery Outage,Economic,Severe winter storms shut down major Gulf Coast processing facilities